

DATE:	06/11/2017	TIME:	11:10:28
Initialising game took 10.26 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
Average frames/sec=	637.226
Average Paint time=	1.560 ms
Average Init time=	16.764 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:49:06
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	684.443
Average Paint time=	1.454 ms
Average Init time=	14.027 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:52:19
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	102944.498
Average Paint time=	1.626 ms
Average Init time=	19.045 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:52:54
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	126799.777
Average Paint time=	1.774 ms
Average Init time=	9.066 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:53:41
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	150476.895
Average Paint time=	1.480 ms
Average Init time=	7.470 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:54:29
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	88403.471
Average Paint time=	1.884 ms
Average Init time=	9.351 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:54:55
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	108103.135
Average Paint time=	1.616 ms
Average Init time=	7.527 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:55:15
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	83987.104
Average Paint time=	1.697 ms
Average Init time=	18.075 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:55:37
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	134421.048
Average Paint time=	1.552 ms
Average Init time=	9.123 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:55:58
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	79599.207
Average Paint time=	2.010 ms
Average Init time=	20.299 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:56:10
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	147383.658
Average Paint time=	1.549 ms
Average Init time=	6.842 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:56:19
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	151176.788
Average Paint time=	1.521 ms
Average Init time=	5.531 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:56:26
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	86062.690
Average Paint time=	1.878 ms
Average Init time=	15.852 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:56:30
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	104065.131
Average Paint time=	2.596 ms
Average Init time=	7.470 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:57:34
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	156615.850
Average Paint time=	1.470 ms
Average Init time=	7.356 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:58:14
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	120709.369
Average Paint time=	1.486 ms
Average Init time=	9.066 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 19/12/2017	TIME: 00:24:19
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	110642.090
Average Paint time=	12.866 ms
Average Init time=	17.145 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 19/12/2017	TIME: 00:25:27
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	129985.536
Average Paint time=	1.391 ms
Average Init time=	18.256 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 19/12/2017	TIME: 00:29:51
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	125687.073
Average Paint time=	1.665 ms
Average Init time=	15.916 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 19/12/2017	TIME: 00:30:09
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	82539.461
Average Paint time=	1.851 ms
Average Init time=	16.677 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 19/12/2017	TIME: 00:31:29
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	68192.498
Average Paint time=	1.708 ms
Average Init time=	21.358 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 19/12/2017	TIME: 00:32:10
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	76003.381
Average Paint time=	1.183 ms
